language,question,negation_question,distractor_question,answer,answer_number,equation_solution
fr,"Question : Léa avait 32 chocolats et sa sœur en avait 42. Si elles en ont mangé 35, combien de morceaux leur reste-t-il en tout ?","Question : Léa avait 32 chocolats et sa sœur en avait 42. Si elles n'en ont pas mangé 35, combien de morceaux leur reste-t-il en tout ?","Question : Léa avait 32 chocolats et sa sœur en avait 42. Elles ont bu trois boîtes de soda. Si elles en ont mangé 35, combien de morceaux leur reste-t-il en tout ?",Réponse étape par étape : Léa avait 32 chocolats et sa sœur en avait 42. Cela signifie qu'il y avait à l'origine 32 + 42 = 74 chocolats. 35 chocolats ont été mangés. Il leur en reste donc au total 74 - 35 = 39 chocolats. La réponse est 39.,39,32 + 42 = 74. 74 - 35 = 39.
fr,"Question : Shawn a cinq jouets. Pour Noël, papa et maman lui ont offert deux jouets chacun. Combien de jouets a-t-il maintenant ?","Question : Shawn a cinq jouets. Pour Noël, papa et maman ne lui ont pas offert deux jouets chacun. Combien de jouets a-t-il maintenant ?","Question : Shawn a cinq jouets. Pour Noël, papa et maman lui ont offert deux jouets chacun. Shawn boit 3 boîtes de soda. Combien de jouets a-t-il maintenant ?","Réponse étape par étape : Il a 5 jouets. Il en a reçu 2 de maman, ce qui fait qu'il a 5 + 2 = 7 jouets. Ensuite, il a reçu 2 autres jouets de papa. Cela fait donc un total de 7 + 2 = 9 jouets. La réponse est 9.",9,5 + 2 = 7. 7 + 2 = 9.
fr,"Question : Michael avait 58 balles de golf. Mardi, il a perdu 23 balles de golf. Mercredi, il en a perdu 2 autres. De combien de balles de golf disposait-il à la fin du mercredi ?","Question : Michael avait 58 balles de golf. Mardi, il n'a pas perdu 23 balles de golf. Mercredi, il en a perdu 2. De combien de balles de golf disposait-il à la fin du mercredi ?","Question : Michael avait 58 balles de golf. Mardi, il a perdu 23 balles de golf. Mercredi, il en a perdu 2 autres. Michael a bu 3 boîtes de soda. De combien de balles de golf disposait-il à la fin du mercredi ?","Réponse étape par étape : Michael a commencé avec 58 balles de golf et en a perdu 23. Il lui reste donc 58 - 23 = 35. Après en avoir perdu 2 autres, il lui reste 35 - 2 = 33 balles. La réponse est 33.",33,58 - 23 = 35. 35 - 2 = 33.
fr,Question : Olivia a 23 $. Elle a acheté cinq bagels à 3 $ chacun. Combien d'argent lui reste-t-il ?,Question : Olivia a 23 $. Elle n'a pas acheté cinq bagels à 3 $ chacun. Combien d'argent lui reste-t-il ?,Question : Olivia a 23 $. Elle a acheté cinq bagels à 3 $ chacun. Olivia a bu 3 boîtes de soda. Combien d'argent lui reste-t-il ?,"Réponse étape par étape : 5 bagels à 3 $ chacun coûtent 5 x 3 = 15 dollars. Olivia avait 23 dollars au départ, il lui reste donc 23 - 15 = 8 dollars. La réponse est 8.",8,5 * 3 = 15. 23 - 15 = 8.
fr,Question : Jason avait 20 sucettes. Il en a donné à Denny et il ne lui en reste plus que 12 à présent. Combien de sucettes Jason a-t-il donné à Denny ?,Question : Jason avait 20 sucettes. Il en a donné à Denny et il ne lui en reste pas 12 à présent. Combien de sucettes Jason a-t-il donné à Denny ?,Question : Jason avait 20 sucettes. Il en a donné à Denny et il ne lui en reste plus que 12 à présent. Jason a bu 3 boîtes de soda. Combien de sucettes Jason a-t-il donné à Denny ?,"Réponse étape par étape : Au départ, Jason avait 20 sucettes. Il n'en a plus que 12, alors il a donné à Denny 20 - 12 = 8 sucettes. La réponse est 8.",8,20 - 12 = 8.
fr,"Question : S'il y a 3 voitures dans le parking et que 2 autres arrivent, combien de voitures y a-t-il maintenant dans le parking ?","Question : S'il y a 3 voitures dans le parking et que 2 autres n'arrivent pas, combien de voitures y a-t-il maintenant dans le parking ?","Question : S'il y a 3 voitures dans le parking, que 3 boîtes de soda sont consommées et que 2 autres arrivent, combien de voitures y a-t-il maintenant dans le parking ?","Réponse étape par étape : Au début, il y a 3 voitures, puis 2 autres arrivent. Ça fait donc 3 + 2 = 5 voitures. La réponse est 5.",5,3 + 2 = 5.
de,Frage: Roger hat 5 Tennisbälle. Er kauft noch 2 Dosen Tennisbälle. In jeder Dose sind 3 Tennisbälle. Wie viele Tennisbälle hat er jetzt?,Frage: Roger hat 5 Tennisbälle. Er kauft nicht 2 Dosen Tennisbälle. In jeder Dose sind 3 Tennisbälle. Wie viele Tennisbälle hat er jetzt?,Frage: Roger hat 5 Tennisbälle. Er kauft noch 2 Dosen Tennisbälle. In jeder Dose sind 3 Tennisbälle. Roger trinkt 3 Dosen Limonade. Wie viele Tennisbälle hat er jetzt?,Schritt-für-Schritt-Antwort: Roger begann mit 5 Bällen. 2 Dosen von jeweils 3 Tennisbällen macht 6 Tennisbälle. 5 + 6 = 11. Die Antwort ist 11.,11,5 + 6 = 11.
de,Frage: Es waren neun Computer im Serverraum. Von Montag bis Donnerstag wurden jeden Tag noch fünf Computer installiert. Wie viele Computer sind jetzt im Serverraum?,Frage: Es waren neun Computer im Serverraum. Von Montag bis Donnerstag wurden jeden Tag fünf Computer nicht installiert. Wie viele Computer sind jetzt im Serverraum?,Frage: Es waren neun Computer im Serverraum. Von Montag bis Donnerstag wurden jeden Tag noch fünf Computer installiert. Es wurden 3 Dosen Limonade konsumiert. Wie viele Computer sind jetzt im Serverraum?,"Schritt-für-Schritt-Antwort: Von Montag bis Donnerstag sind es 4 Tage. Jeden Tag kamen 5 neue Computer hinzu. Das macht insgesamt 4 x 5 = 20 Computer, die hinzugefügt wurden. Am Anfang waren es 9 Computer, also sind es jetzt 9 + 20 =29 Computer. Die Antwort lautet 29.",29,4 * 5 = 20. 9 + 20 = 29.
de,"Frage: Leah hat 32 Pralinen und ihre Schwester hat 42. Wenn sie 35 essen, wie viele sind dann insgesamt noch übrig?","Frage: Leah hat 32 Pralinen und ihre Schwester hat 42. Wenn sie 35 nicht essen, wie viele sind dann insgesamt noch übrig?","Frage: Leah hat 32 Pralinen und ihre Schwester hat 42. Sie tranken 3 Dosen Limonade. Wenn sie 35 essen, wie viele sind dann insgesamt noch übrig?","Schritt-für-Schritt-Antwort: Leah hat 32 Pralinen und Leahs Schwester 42. Das bedeutet, dass es ursprünglich 32 + 42 =74 Pralinen waren. 35 wurden gegessen. Also haben sie insgesamt noch 74 - 35 = 39 Pralinen übrig. Die Antwort lautet 39.",39,32 + 42 = 74. 74 - 35 = 39.
de,Frage: Shawn hat fünf Spielzeuge. Zu Weihnachten hat er von seiner Mama und seinem Papa jeweils zwei Spielzeuge bekommen. Wie viele Spielzeuge hat er jetzt?,Frage: Shawn hat fünf Spielzeuge. Zu Weihnachten hat er von seiner Mama und seinem Papa nicht je zwei Spielzeuge bekommen. Wie viele Spielzeuge hat er jetzt?,Frage: Shawn hat fünf Spielzeuge. Zu Weihnachten hat er von seiner Mama und seinem Papa jeweils zwei Spielzeuge bekommen. Shawn hat 3 Dosen Limonade getrunken. Wie viele Spielzeuge hat er jetzt?,"Schritt-für-Schritt-Antwort: Er hat 5 Spielzeuge. Er hat 2 von seiner Mama bekommen, sodass er nun 5 + 2 = 7 Spielzeuge hat. Dann hat er noch 2 von seinem Papa bekommen, also hat er insgesamt 7 + 2 = 9 Spielzeuge. Die Antwort lautet 9.",9,5 + 2 = 7. 7 + 2 = 9.
de,Frage: Michael hat 58 Golfbälle. Am Dienstag hat er 23 Golfbälle verloren. Am Mittwoch hat er 2 weitere verloren. Wie viele Golfbälle hat er Mittwoch am Ende des Tages?,Frage: Michael hat 58 Golfbälle. Am Dienstag hat er 23 Golfbälle nicht verloren. Am Mittwoch hat er 2 verloren. Wie viele Golfbälle hat er Mittwoch am Ende des Tages?,Frage: Michael hat 58 Golfbälle. Am Dienstag hat er 23 Golfbälle verloren. Am Mittwoch hat er 2 weitere verloren. Michael hat 3 Dosen Limonade getrunken. Wie viele Golfbälle hat er Mittwoch am Ende des Tages?,"Schritt-für-Schritt-Antwort: Michael hatte anfangs 58 Golfbälle und hat 23 verloren, sodass er 58 - 23 = 35 hat. Nachdem er 2 weitere verloren hat, hat er jetzt 35 - 2 = 33 Bälle. Die Antwort lautet 33.",33,58 - 23 = 35. 35 - 2 = 33.
de,Frage: Olivia hat 23 US-Dollar. Sie hat fünf Bagels für 3 US-Dollar pro Stück gekauft. Wie viel Geld hat sie übrig?,Frage: Olivia hat 23 US-Dollar. Sie hat nicht fünf Bagels für 3 US-Dollar pro Stück gekauft. Wie viel Geld hat sie übrig?,Frage: Olivia hat 23 US-Dollar. Sie hat fünf Bagels für 3 US-Dollar pro Stück gekauft. Olivia hat 3 Dosen Limonade getrunken. Wie viel Geld hat sie übrig?,"Schritt-für-Schritt-Antwort: 5 Bagels für 3 US-Dollar pro Stück kosten 5 x 3 = 15 Dollar. Olivia hat anfangs 23 US-Dollar, also hat sie jetzt 23 - 15 = 8 Dollar übrig. Die Antwort lautet 8.",8,5 * 3 = 15. 23 - 15 = 8.
de,Frage: Jason hatte 20 Lutscher. Er hat Denny einige Lutscher gegeben. Jetzt hat Jason 12 Lutscher. Wie viele Lutscher hat Jason Denny gegeben?,Frage: Jason hatte 20 Lutscher. Er hat Denny einige Lutscher gegeben. Jetzt hat Jason nicht 12 Lutscher. Wie viele Lutscher hat Jason Denny gegeben?,Frage: Jason hatte 20 Lutscher. Er hat Denny einige Lutscher gegeben. Jetzt hat Jason 12 Lutscher. Jason hat 3 Dosen Limonade getrunken. Wie viele Lutscher hat Jason Denny gegeben?,"Schritt-für-Schritt-Antwort: Jason hat mit 20 Lutschern angefangen, aber jetzt hat er nur 12, also hat er Denny 20 - 12 = 8 Lutscher abgegeben. Die Antwort lautet 8.",8,20 - 12 = 8.
de,"Frage: Wenn 3 Autos auf dem Parkplatz stehen und 2 weitere Autos ankommen, wie viele Autos stehen dann auf dem Parkplatz?","Frage: Wenn 3 Autos auf dem Parkplatz stehen und 2 weitere Autos nicht ankommen, wie viele Autos stehen dann auf dem Parkplatz?","Frage: Wenn 3 Autos auf dem Parkplatz stehen, 3 Dosen Limonade getrunken werden und 2 weitere Autos ankommen, wie viele Autos stehen dann auf dem Parkplatz?","Schritt-für-Schritt-Antwort: Anfangs sind 3 Autos da, 2 weitere kommen an, also sind jetzt 3 + 2 = 5 Autos da. Die Antwort lautet 5.",5,3 + 2 = 5.
